#########################
Begin Lexical Analysis...
#########################
############
Lexer Output
############
CP = 0    Type = id	Data = begin	Pos = (0, 0)
CP = 187  Type = sig	Data = ;	Pos = (41, 36)
CP = 188  Type = id	Data = using_list	Pos = (0, 38)
CP = 189  Type = sig	Data = ::=	Pos = (11, 38)
CP = 190  Type = id	Data = module_list	Pos = (15, 38)
CP = 191  Type = brac	Data = [	Pos = (27, 38)
CP = 192  Type = dlit	Data = ","	Pos = (28, 38)
CP = 193  Type = id	Data = using_list	Pos = (32, 38)
CP = 194  Type = brac	Data = ]	Pos = (42, 38)
CP = 195  Type = sig	Data = ;	Pos = (43, 38)
CP = 196  Type = id	Data = if_stmt	Pos = (0, 40)
CP = 197  Type = sig	Data = ::=	Pos = (8, 40)
CP = 198  Type = dlit	Data = "if"	Pos = (12, 40)
CP = 199  Type = id	Data = basic_expr	Pos = (17, 40)
CP = 200  Type = token	Data = ENDL	Pos = (28, 40)
CP = 201  Type = id	Data = stmts	Pos = (33, 40)
CP = 202  Type = brac	Data = {	Pos = (39, 40)
CP = 203  Type = id	Data = else_stmt	Pos = (40, 40)
CP = 204  Type = id	Data = stmts	Pos = (50, 40)
CP = 205  Type = dlit	Data = "end"	Pos = (56, 40)
CP = 206  Type = token	Data = ENDL	Pos = (62, 40)
CP = 207  Type = brac	Data = }	Pos = (66, 40)
CP = 208  Type = sig	Data = ;	Pos = (67, 40)
CP = 209  Type = id	Data = else_stmt	Pos = (0, 42)
CP = 210  Type = sig	Data = ::=	Pos = (10, 42)
CP = 211  Type = dlit	Data = "else"	Pos = (14, 42)
CP = 212  Type = brac	Data = [	Pos = (21, 42)
CP = 213  Type = dlit	Data = "if"	Pos = (22, 42)
CP = 214  Type = brac	Data = ]	Pos = (26, 42)
CP = 215  Type = token	Data = ENDL	Pos = (28, 42)
CP = 216  Type = id	Data = basic_expr	Pos = (33, 42)
CP = 217  Type = token	Data = ENDL	Pos = (44, 42)
CP = 218  Type = sig	Data = ;	Pos = (48, 42)
CP = 219  Type = id	Data = switch_stmt	Pos = (0, 44)
CP = 220  Type = sig	Data = ::=	Pos = (12, 44)
CP = 221  Type = dlit	Data = "switch"	Pos = (16, 44)
CP = 222  Type = id	Data = basic_expr	Pos = (25, 44)
CP = 223  Type = token	Data = ENDL	Pos = (36, 44)
CP = 224  Type = id	Data = switch_stmts	Pos = (41, 44)
CP = 225  Type = dlit	Data = "end"	Pos = (54, 44)
CP = 226  Type = token	Data = ENDL	Pos = (60, 44)
CP = 227  Type = sig	Data = ;	Pos = (64, 44)
CP = 228  Type = id	Data = switch_stmts	Pos = (0, 46)
CP = 229  Type = sig	Data = ::=	Pos = (13, 46)
CP = 230  Type = brac	Data = {	Pos = (17, 46)
CP = 231  Type = id	Data = switch_case	Pos = (18, 46)
CP = 232  Type = sig	Data = |	Pos = (30, 46)
CP = 233  Type = id	Data = switch_default	Pos = (32, 46)
CP = 234  Type = brac	Data = }	Pos = (46, 46)
CP = 235  Type = brac	Data = {	Pos = (48, 46)
CP = 236  Type = token	Data = ENDL	Pos = (49, 46)
CP = 237  Type = brac	Data = }	Pos = (53, 46)
CP = 238  Type = sig	Data = ;	Pos = (54, 46)
CP = 239  Type = id	Data = switch_case	Pos = (0, 48)
CP = 240  Type = sig	Data = ::=	Pos = (12, 48)
CP = 241  Type = dlit	Data = "case"	Pos = (16, 48)
CP = 242  Type = id	Data = logic_or_expr	Pos = (23, 48)
CP = 243  Type = token	Data = ENDL	Pos = (37, 48)
CP = 244  Type = id	Data = stmts	Pos = (42, 48)
CP = 245  Type = dlit	Data = "end"	Pos = (48, 48)
CP = 246  Type = token	Data = ENDL	Pos = (54, 48)
CP = 247  Type = sig	Data = ;	Pos = (58, 48)
CP = 248  Type = id	Data = switch_default	Pos = (0, 50)
CP = 249  Type = sig	Data = ::=	Pos = (15, 50)
CP = 250  Type = dlit	Data = "default"	Pos = (19, 50)
CP = 251  Type = token	Data = ENDL	Pos = (29, 50)
CP = 252  Type = id	Data = stmts	Pos = (34, 50)
CP = 253  Type = dlit	Data = "end"	Pos = (40, 50)
CP = 254  Type = token	Data = ENDL	Pos = (46, 50)
CP = 255  Type = sig	Data = ;	Pos = (50, 50)
CP = 256  Type = id	Data = while_stmt	Pos = (0, 52)
CP = 257  Type = sig	Data = ::=	Pos = (11, 52)
CP = 258  Type = dlit	Data = "while"	Pos = (15, 52)
CP = 259  Type = id	Data = basic_expr	Pos = (23, 52)
CP = 260  Type = token	Data = ENDL	Pos = (34, 52)
CP = 261  Type = id	Data = stmts	Pos = (39, 52)
CP = 262  Type = dlit	Data = "end"	Pos = (45, 52)
CP = 263  Type = token	Data = ENDL	Pos = (51, 52)
CP = 264  Type = sig	Data = ;	Pos = (55, 52)
CP = 265  Type = id	Data = loop_stmt	Pos = (0, 54)
CP = 266  Type = sig	Data = ::=	Pos = (10, 54)
CP = 267  Type = dlit	Data = "loop"	Pos = (14, 54)
CP = 268  Type = token	Data = ENDL	Pos = (21, 54)
CP = 269  Type = id	Data = stmts	Pos = (26, 54)
CP = 270  Type = brac	Data = (	Pos = (32, 54)
CP = 271  Type = id	Data = until_stmt	Pos = (33, 54)
CP = 272  Type = sig	Data = |	Pos = (44, 54)
CP = 273  Type = dlit	Data = "end"	Pos = (46, 54)
CP = 274  Type = sig	Data = |	Pos = (52, 54)
CP = 275  Type = token	Data = ENDL	Pos = (54, 54)
CP = 276  Type = brac	Data = )	Pos = (58, 54)
CP = 277  Type = sig	Data = ;	Pos = (59, 54)
CP = 278  Type = id	Data = until_stmt	Pos = (0, 56)
CP = 279  Type = sig	Data = ::=	Pos = (11, 56)
CP = 280  Type = dlit	Data = "until"	Pos = (15, 56)
CP = 281  Type = id	Data = basic_expr	Pos = (23, 56)
CP = 282  Type = token	Data = ENDL	Pos = (34, 56)
CP = 283  Type = sig	Data = ;	Pos = (38, 56)
CP = 284  Type = id	Data = for_stmt	Pos = (0, 58)
CP = 285  Type = sig	Data = ::=	Pos = (9, 58)
CP = 286  Type = dlit	Data = "for"	Pos = (13, 58)
CP = 287  Type = brac	Data = [	Pos = (19, 58)
CP = 288  Type = id	Data = var_def	Pos = (20, 58)
CP = 289  Type = brac	Data = ]	Pos = (27, 58)
CP = 290  Type = brac	Data = (	Pos = (29, 58)
CP = 291  Type = dlit	Data = ";"	Pos = (30, 58)
CP = 292  Type = sig	Data = |	Pos = (34, 58)
CP = 293  Type = dlit	Data = ","	Pos = (36, 58)
CP = 294  Type = brac	Data = )	Pos = (39, 58)
CP = 295  Type = brac	Data = [	Pos = (41, 58)
CP = 296  Type = id	Data = basic_expr	Pos = (42, 58)
CP = 297  Type = brac	Data = ]	Pos = (52, 58)
CP = 298  Type = brac	Data = (	Pos = (54, 58)
CP = 299  Type = dlit	Data = ";"	Pos = (55, 58)
CP = 300  Type = sig	Data = |	Pos = (59, 58)
CP = 301  Type = dlit	Data = ","	Pos = (61, 58)
CP = 302  Type = brac	Data = )	Pos = (64, 58)
CP = 303  Type = brac	Data = [	Pos = (66, 58)
CP = 304  Type = id	Data = basic_expr	Pos = (67, 58)
CP = 305  Type = brac	Data = ]	Pos = (77, 58)
CP = 306  Type = id	Data = for_body	Pos = (79, 58)
CP = 307  Type = sig	Data = ;	Pos = (87, 58)
CP = 308  Type = id	Data = foreach_stmt	Pos = (0, 60)
CP = 309  Type = sig	Data = ::=	Pos = (13, 60)
CP = 310  Type = dlit	Data = "foreach"	Pos = (17, 60)
CP = 311  Type = token	Data = ID	Pos = (27, 60)
CP = 312  Type = dlit	Data = "in"	Pos = (30, 60)
CP = 313  Type = id	Data = basic_expr	Pos = (35, 60)
CP = 314  Type = id	Data = for_body	Pos = (46, 60)
CP = 315  Type = sig	Data = ;	Pos = (54, 60)
CP = 316  Type = id	Data = for_body	Pos = (0, 62)
CP = 317  Type = sig	Data = ::=	Pos = (9, 62)
CP = 318  Type = brac	Data = (	Pos = (13, 62)
CP = 319  Type = dlit	Data = "do"	Pos = (14, 62)
CP = 320  Type = id	Data = basic_expr	Pos = (19, 62)
CP = 321  Type = id	Data = endline	Pos = (30, 62)
CP = 322  Type = sig	Data = |	Pos = (38, 62)
CP = 323  Type = token	Data = ENDL	Pos = (40, 62)
CP = 324  Type = id	Data = stmts	Pos = (45, 62)
CP = 325  Type = dlit	Data = "end"	Pos = (51, 62)
CP = 326  Type = token	Data = ENDL	Pos = (57, 62)
CP = 327  Type = brac	Data = )	Pos = (61, 62)
CP = 328  Type = sig	Data = ;	Pos = (62, 62)
CP = 329  Type = id	Data = function_stmt	Pos = (0, 64)
CP = 330  Type = sig	Data = ::=	Pos = (14, 64)
CP = 331  Type = dlit	Data = "function"	Pos = (18, 64)
CP = 332  Type = token	Data = ID	Pos = (29, 64)
CP = 333  Type = dlit	Data = "("	Pos = (32, 64)
CP = 334  Type = brac	Data = [	Pos = (36, 64)
CP = 335  Type = id	Data = argument_list	Pos = (37, 64)
CP = 336  Type = brac	Data = ]	Pos = (50, 64)
CP = 337  Type = dlit	Data = ")"	Pos = (52, 64)
CP = 338  Type = brac	Data = [	Pos = (56, 64)
CP = 339  Type = dlit	Data = "override"	Pos = (57, 64)
CP = 340  Type = brac	Data = ]	Pos = (67, 64)
CP = 341  Type = id	Data = function_body	Pos = (69, 64)
CP = 342  Type = sig	Data = ;	Pos = (82, 64)
CP = 343  Type = id	Data = function_body	Pos = (0, 66)
CP = 344  Type = sig	Data = ::=	Pos = (14, 66)
CP = 345  Type = brac	Data = (	Pos = (18, 66)
CP = 346  Type = dlit	Data = "{"	Pos = (19, 66)
CP = 347  Type = id	Data = stmts	Pos = (23, 66)
CP = 348  Type = dlit	Data = "}"	Pos = (29, 66)
CP = 349  Type = sig	Data = |	Pos = (33, 66)
CP = 350  Type = token	Data = ENDL	Pos = (35, 66)
CP = 351  Type = id	Data = stmts	Pos = (40, 66)
CP = 352  Type = dlit	Data = "end"	Pos = (46, 66)
CP = 353  Type = token	Data = ENDL	Pos = (52, 66)
CP = 354  Type = brac	Data = )	Pos = (56, 66)
CP = 355  Type = sig	Data = ;	Pos = (57, 66)
CP = 356  Type = id	Data = return_stmt	Pos = (0, 68)
CP = 357  Type = sig	Data = ::=	Pos = (12, 68)
CP = 358  Type = dlit	Data = "return"	Pos = (16, 68)
CP = 359  Type = brac	Data = [	Pos = (25, 68)
CP = 360  Type = id	Data = expr	Pos = (26, 68)
CP = 361  Type = brac	Data = ]	Pos = (30, 68)
CP = 362  Type = id	Data = endline	Pos = (32, 68)
CP = 363  Type = sig	Data = ;	Pos = (39, 68)
CP = 364  Type = id	Data = try_stmt	Pos = (0, 70)
CP = 365  Type = sig	Data = ::=	Pos = (9, 70)
CP = 366  Type = dlit	Data = "try"	Pos = (13, 70)
CP = 367  Type = token	Data = ENDL	Pos = (19, 70)
CP = 368  Type = id	Data = stmts	Pos = (24, 70)
CP = 369  Type = brac	Data = {	Pos = (30, 70)
CP = 370  Type = id	Data = catch_stmt	Pos = (31, 70)
CP = 371  Type = id	Data = stmts	Pos = (42, 70)
CP = 372  Type = brac	Data = }	Pos = (47, 70)
CP = 373  Type = dlit	Data = "end"	Pos = (49, 70)
CP = 374  Type = token	Data = ENDL	Pos = (55, 70)
CP = 375  Type = sig	Data = ;	Pos = (59, 70)
CP = 376  Type = id	Data = catch_stmt	Pos = (0, 72)
CP = 377  Type = sig	Data = ::=	Pos = (11, 72)
CP = 378  Type = dlit	Data = "catch"	Pos = (15, 72)
CP = 379  Type = token	Data = ID	Pos = (23, 72)
CP = 380  Type = brac	Data = [	Pos = (26, 72)
CP = 381  Type = dlit	Data = ":"	Pos = (27, 72)
CP = 382  Type = id	Data = visit_expr	Pos = (31, 72)
CP = 383  Type = brac	Data = ]	Pos = (41, 72)
CP = 384  Type = token	Data = ENDL	Pos = (44, 72)
CP = 385  Type = sig	Data = ;	Pos = (48, 72)
CP = 386  Type = id	Data = throw_stmt	Pos = (0, 74)
CP = 387  Type = sig	Data = ::=	Pos = (11, 74)
CP = 388  Type = dlit	Data = "throw"	Pos = (15, 74)
CP = 389  Type = brac	Data = [	Pos = (23, 74)
CP = 390  Type = id	Data = expr	Pos = (24, 74)
CP = 391  Type = brac	Data = ]	Pos = (28, 74)
CP = 392  Type = id	Data = endline	Pos = (30, 74)
CP = 393  Type = sig	Data = ;	Pos = (37, 74)
CP = 394  Type = id	Data = class_stmt	Pos = (0, 76)
CP = 395  Type = sig	Data = ::=	Pos = (11, 76)
CP = 396  Type = brac	Data = (	Pos = (15, 76)
CP = 397  Type = dlit	Data = "class"	Pos = (16, 76)
CP = 398  Type = sig	Data = |	Pos = (24, 76)
CP = 399  Type = dlit	Data = "struct"	Pos = (26, 76)
CP = 400  Type = brac	Data = )	Pos = (34, 76)
CP = 401  Type = token	Data = ID	Pos = (36, 76)
CP = 402  Type = brac	Data = [	Pos = (39, 76)
CP = 403  Type = dlit	Data = "extends"	Pos = (40, 76)
CP = 404  Type = id	Data = visit_expr	Pos = (50, 76)
CP = 405  Type = brac	Data = ]	Pos = (60, 76)
CP = 406  Type = token	Data = ENDL	Pos = (62, 76)
CP = 407  Type = id	Data = decl_stmts	Pos = (67, 76)
CP = 408  Type = dlit	Data = "end"	Pos = (78, 76)
CP = 409  Type = token	Data = ENDL	Pos = (84, 76)
CP = 410  Type = sig	Data = ;	Pos = (88, 76)
CP = 411  Type = id	Data = control_stmt	Pos = (0, 78)
CP = 412  Type = sig	Data = ::=	Pos = (13, 78)
CP = 413  Type = brac	Data = (	Pos = (17, 78)
CP = 414  Type = dlit	Data = "break"	Pos = (18, 78)
CP = 415  Type = sig	Data = |	Pos = (26, 78)
CP = 416  Type = dlit	Data = "continue"	Pos = (28, 78)
CP = 417  Type = brac	Data = )	Pos = (38, 78)
CP = 418  Type = id	Data = endline	Pos = (40, 78)
CP = 419  Type = sig	Data = ;	Pos = (47, 78)
CP = 420  Type = id	Data = expr_stmt	Pos = (0, 80)
CP = 421  Type = sig	Data = ::=	Pos = (10, 80)
CP = 422  Type = id	Data = expr	Pos = (14, 80)
CP = 423  Type = id	Data = endline	Pos = (19, 80)
CP = 424  Type = sig	Data = ;	Pos = (26, 80)
CP = 425  Type = id	Data = end_stmt	Pos = (0, 82)
CP = 426  Type = sig	Data = ::=	Pos = (9, 82)
CP = 427  Type = dlit	Data = "end"	Pos = (13, 82)
CP = 428  Type = token	Data = ENDL	Pos = (19, 82)
CP = 429  Type = sig	Data = ;	Pos = (23, 82)
CP = 430  Type = id	Data = expr	Pos = (0, 84)
CP = 431  Type = sig	Data = ::=	Pos = (5, 84)
CP = 432  Type = id	Data = single_expr	Pos = (9, 84)
CP = 433  Type = brac	Data = [	Pos = (21, 84)
CP = 434  Type = dlit	Data = ","	Pos = (22, 84)
CP = 435  Type = id	Data = expr	Pos = (26, 84)
CP = 436  Type = brac	Data = ]	Pos = (30, 84)
CP = 437  Type = sig	Data = ;	Pos = (31, 84)
CP = 438  Type = id	Data = single_expr	Pos = (0, 86)
CP = 439  Type = sig	Data = ::=	Pos = (12, 86)
CP = 440  Type = id	Data = lambda_expr	Pos = (16, 86)
CP = 441  Type = sig	Data = |	Pos = (28, 86)
CP = 442  Type = id	Data = basic_expr	Pos = (30, 86)
CP = 443  Type = sig	Data = ;	Pos = (40, 86)
CP = 444  Type = id	Data = basic_expr	Pos = (0, 88)
CP = 445  Type = sig	Data = ::=	Pos = (11, 88)
CP = 446  Type = id	Data = var_bind	Pos = (15, 88)
CP = 447  Type = dlit	Data = "="	Pos = (24, 88)
CP = 448  Type = id	Data = cond_expr	Pos = (28, 88)
CP = 449  Type = sig	Data = |	Pos = (38, 88)
CP = 450  Type = id	Data = cond_expr	Pos = (40, 88)
CP = 451  Type = brac	Data = [	Pos = (50, 88)
CP = 452  Type = id	Data = asi_op	Pos = (51, 88)
CP = 453  Type = id	Data = single_expr	Pos = (58, 88)
CP = 454  Type = brac	Data = ]	Pos = (69, 88)
CP = 455  Type = sig	Data = ;	Pos = (70, 88)
CP = 456  Type = id	Data = asi_op	Pos = (0, 90)
CP = 457  Type = sig	Data = ::=	Pos = (7, 90)
CP = 458  Type = dlit	Data = "="	Pos = (11, 90)
CP = 459  Type = sig	Data = |	Pos = (15, 90)
CP = 460  Type = dlit	Data = ":="	Pos = (17, 90)
CP = 461  Type = sig	Data = |	Pos = (22, 90)
CP = 462  Type = dlit	Data = "+="	Pos = (24, 90)
CP = 463  Type = sig	Data = |	Pos = (29, 90)
CP = 464  Type = dlit	Data = "-="	Pos = (31, 90)
CP = 465  Type = sig	Data = |	Pos = (36, 90)
CP = 466  Type = dlit	Data = "*="	Pos = (38, 90)
CP = 467  Type = sig	Data = |	Pos = (43, 90)
